@relation /home/othavioaset_perfeito_keel
@attribute EMA_3 real[-0.01,1.01]
@attribute SMA_3 real[-0.01,1.01]
@attribute ADXR real[-0.01,1.01]
@attribute Bollinger_Norm real[-0.01,1.01]
@attribute EMA_5 real[-0.01,1.01]
@attribute SMA_5 real[-0.01,1.01]
@attribute std_close3 real[-0.01,1.01]
@attribute std_open3 real[-0.01,1.01]
@attribute trend{0,1}
@inputs EMA_3, SMA_3, ADXR, Bollinger_Norm, EMA_5, SMA_5, std_close3, std_open3
@outputs trend
@data
0.44631, 0.43577, 0.3389, 0.47596, 0.45569, 0.45024, 0.02634, 0.06555, 0
0.44769, 0.44077, 0.34629, 0.47433, 0.45822, 0.45503, 0.05224, 0.02401, 0
0.45413, 0.44452, 0.35026, 0.47119, 0.46424, 0.45832, 0.03217, 0.07242, 1
0.48296, 0.46118, 0.34306, 0.47255, 0.48212, 0.46816, 0.193, 0.23154, 0
0.41653, 0.4086, 0.33751, 0.49029, 0.41857, 0.40835, 0.16857, 0.17033, 1
0.47143, 0.46594, 0.34231, 0.47735, 0.46976, 0.45641, 0.11958, 0.14326, 1
0.44747, 0.43247, 0.34494, 0.48326, 0.44339, 0.43363, 0.13511, 0.12105, 0
0.43903, 0.43475, 0.34784, 0.48388, 0.43729, 0.4354, 0.03108, 0.03831, 0
0.44723, 0.44284, 0.35468, 0.48095, 0.44831, 0.4437, 0.039, 0.0193, 1
0.45453, 0.44492, 0.36332, 0.47777, 0.4561, 0.45603, 0.01933, 0.05436, 0
0.43586, 0.43039, 0.36398, 0.48157, 0.4423, 0.44458, 0.07363, 0.11716, 0
0.44884, 0.44493, 0.35575, 0.47229, 0.45943, 0.46094, 0.11265, 0.08016, 0
0.4563, 0.44555, 0.35141, 0.4705, 0.46764, 0.46764, 0.04831, 0.01017, 1
0.4546, 0.44202, 0.33569, 0.47186, 0.46489, 0.46222, 0.00402, 0.05957, 1
0.45663, 0.44389, 0.32116, 0.473, 0.46413, 0.45478, 0.03231, 0.10795, 1
0.48638, 0.4626, 0.31418, 0.47567, 0.48027, 0.45918, 0.2532, 0.2429, 0
0.4279, 0.41489, 0.30224, 0.48698, 0.4192, 0.40068, 0.2273, 0.17609, 1
0.74235, 0.7311, 0.42861, 0.33593, 0.75556, 0.74404, 0.11772, 0.09399, 0
0.44626, 0.44709, 0.42377, 0.47361, 0.46058, 0.46271, 0.18449, 0.07753, 1
0.46554, 0.45241, 0.41765, 0.4692, 0.47883, 0.47918, 0.06689, 0.07697, 1
0.45919, 0.442, 0.42049, 0.47251, 0.4685, 0.46482, 0.0615, 0.07994, 0
0.44662, 0.43588, 0.41775, 0.47674, 0.4544, 0.44295, 0.03497, 0.02391, 0
0.44566, 0.43935, 0.42838, 0.47706, 0.45413, 0.44369, 0.03686, 0.02141, 1
0.4387, 0.42734, 0.42156, 0.48718, 0.44091, 0.43296, 0.09537, 0.04141, 0
0.44483, 0.44139, 0.41921, 0.48316, 0.44894, 0.44234, 0.04598, 0.02721, 0
0.44414, 0.43894, 0.41588, 0.47916, 0.45154, 0.44888, 0.06394, 0.05273, 1
0.45633, 0.4471, 0.41791, 0.47255, 0.4641, 0.4647, 0.04317, 0.03773, 0
0.44362, 0.43486, 0.42906, 0.4759, 0.45359, 0.45271, 0.04703, 0.06135, 1
0.50799, 0.49529, 0.42921, 0.47223, 0.50347, 0.48748, 0.26782, 0.28321, 0
0.4238, 0.40525, 0.42762, 0.48606, 0.41826, 0.40631, 0.27138, 0.31847, 0
0.41458, 0.42655, 0.41208, 0.48349, 0.42113, 0.42523, 0.22539, 0.25679, 1
0.46498, 0.4624, 0.40325, 0.47411, 0.47556, 0.4757, 0.19017, 0.26488, 1
0.46111, 0.44343, 0.38671, 0.47374, 0.47014, 0.47817, 0.0374, 0.10655, 1
0.45666, 0.4418, 0.36512, 0.47601, 0.46249, 0.45765, 0.0597, 0.07405, 0
0.45286, 0.44485, 0.32222, 0.47717, 0.45782, 0.44851, 0.01896, 0.0239, 1
0.45004, 0.44017, 0.30294, 0.48227, 0.4545, 0.44826, 0.01609, 0.02606, 1
0.45082, 0.44159, 0.28535, 0.48143, 0.45483, 0.44962, 0.0104, 0.02721, 1
0.45058, 0.44118, 0.26765, 0.48212, 0.4542, 0.44789, 0.01362, 0.06409, 1
0.45422, 0.44363, 0.24874, 0.48028, 0.45632, 0.4495, 0.03603, 0.0548, 1
0.44915, 0.43915, 0.22342, 0.48469, 0.45054, 0.44358, 0.03869, 0.02347, 1
0.45162, 0.4424, 0.2165, 0.48313, 0.45219, 0.44506, 0.03117, 0.13019, 1
0.42897, 0.42574, 0.17978, 0.48878, 0.43282, 0.43103, 0.08662, 0.15577, 0
0.4534, 0.45014, 0.17915, 0.47445, 0.46046, 0.4606, 0.10774, 0.08194, 0
0.45187, 0.44118, 0.17168, 0.47295, 0.46028, 0.46147, 0.02383, 0.01086, 1
0.45424, 0.44322, 0.18132, 0.47219, 0.46229, 0.46122, 0.01196, 0.0152, 1
0.45351, 0.4422, 0.1851, 0.47592, 0.45822, 0.44925, 0.03271, 0.02632, 1
0.45099, 0.44057, 0.19858, 0.48312, 0.45414, 0.44481, 0.03584, 0.07601, 1
0.45504, 0.44403, 0.21051, 0.48189, 0.45564, 0.44592, 0.05612, 0.07073, 1
0.45581, 0.44322, 0.22504, 0.48254, 0.45284, 0.44211, 0.09565, 0.08147, 0
0.39912, 0.40606, 0.21597, 0.48678, 0.41023, 0.41406, 0.2484, 0.24127, 1
0.471, 0.44628, 0.20353, 0.47184, 0.47847, 0.47792, 0.12682, 0.08866, 0
0.41563, 0.41188, 0.20907, 0.4794, 0.42993, 0.43173, 0.16164, 0.17487, 0
0.46273, 0.46059, 0.21144, 0.47187, 0.47874, 0.47041, 0.18726, 0.19168, 1
